datetime,volume,ticks,open,low,high,cost,close
2023-01-24 16:00,0.1,1674547200000,0.147,0.147,0.147,0.0147,0.147
2023-01-25 16:00,0.0,1674633600000,0.147,0.147,0.147,0.0,0.147
2023-01-26 16:00,0.0,1674720000000,0.147,0.147,0.147,0.0,0.147
2023-01-27 16:00,0.0,1674806400000,0.147,0.147,0.147,0.0,0.147
2023-01-28 16:00,0.0,1674892800000,0.147,0.147,0.147,0.0,0.147
2023-01-29 16:00,0.0,1674979200000,0.147,0.147,0.147,0.0,0.147
2023-01-30 16:00,0.6,1675065600000,0.114,0.114,0.114,0.0684,0.114
2023-01-31 16:00,4.2,1675152000000,0.1135,0.113,0.1195,0.4887,0.118
2023-02-01 16:00,1.8,1675238400000,0.117,0.117,0.117,0.2106,0.117
2023-02-02 16:00,0.0,1675324800000,0.117,0.117,0.117,0.0,0.117
2023-02-03 16:00,0.0,1675411200000,0.117,0.117,0.117,0.0,0.117
2023-02-04 16:00,0.0,1675497600000,0.117,0.117,0.117,0.0,0.117
2023-02-05 16:00,100.0,1675584000000,0.11,0.11,0.11,11.0,0.11
2023-02-06 16:00,0.0,1675670400000,0.11,0.11,0.11,0.0,0.11
2023-02-07 16:00,55.0,1675756800000,0.11,0.11,0.11,6.237,0.11
2023-02-08 16:00,0.0,1675843200000,0.11,0.11,0.11,0.0,0.11
2023-02-09 16:00,17.3,1675929600000,0.1065,0.1065,0.1065,1.84245,0.1065
2023-02-10 16:00,55.0,1676016000000,0.0915,0.0915,0.147,5.73735,0.147
2023-02-11 16:00,0.0,1676102400000,0.147,0.147,0.147,0.0,0.147
2023-02-12 16:00,56.0,1676188800000,0.147,0.147,0.147,5.3536,0.147
2023-02-13 16:00,11.4,1676275200000,0.0885,0.0885,0.09,1.02345,0.09
2023-02-14 16:00,0.0,1676361600000,0.09,0.09,0.09,0.0,0.09
2023-02-15 16:00,0.0,1676448000000,0.09,0.09,0.09,0.0,0.09
2023-02-16 16:00,9.3,1676534400000,0.132,0.132,0.132,1.2276,0.132
2023-02-17 16:00,12.8,1676620800000,0.1225,0.1225,0.133,1.6688,0.133
2023-02-18 16:00,0.0,1676707200000,0.133,0.133,0.133,0.0,0.133
2023-02-19 16:00,0.0,1676793600000,0.133,0.133,0.133,0.0,0.133
2023-02-20 16:00,8.0,1676880000000,0.144,0.144,0.144,1.152,0.144
2023-02-21 16:00,0.2,1676966400000,0.1385,0.1385,0.1385,0.0277,0.1385
2023-02-22 16:00,61.8,1677052800000,0.131,0.128,0.131,8.0013,0.1295
2023-02-23 16:00,0.1,1677139200000,0.122,0.122,0.122,0.0122,0.122
2023-02-24 16:00,0.0,1677225600000,0.122,0.122,0.122,0.0,0.122
2023-02-25 16:00,0.0,1677312000000,0.122,0.122,0.122,0.0,0.122
2023-02-26 16:00,0.0,1677398400000,0.122,0.122,0.122,0.0,0.122
2023-02-27 16:00,0.0,1677484800000,0.122,0.122,0.122,0.0,0.122
2023-02-28 16:00,0.0,1677571200000,0.122,0.122,0.122,0.0,0.122
2023-03-01 16:00,0.0,1677657600000,0.122,0.122,0.122,0.0,0.122
2023-03-02 16:00,0.0,1677744000000,0.122,0.122,0.122,0.0,0.122
2023-03-03 16:00,0.0,1677830400000,0.122,0.122,0.122,0.0,0.122
2023-03-04 16:00,0.0,1677916800000,0.122,0.122,0.122,0.0,0.122
2023-03-05 16:00,650.0,1678003200000,0.122,0.122,0.122,58.6925,0.122
2023-03-06 16:00,0.0,1678089600000,0.122,0.122,0.122,0.0,0.122
2023-03-07 16:00,0.0,1678176000000,0.122,0.122,0.122,0.0,0.122
2023-03-08 16:00,0.0,1678262400000,0.122,0.122,0.122,0.0,0.122
2023-03-09 16:00,354.2,1678348800000,0.072,0.0605,0.072,21.4686,0.0615
2023-03-10 16:00,0.0,1678435200000,0.0615,0.0615,0.0615,0.0,0.0615
2023-03-11 16:00,0.0,1678521600000,0.0615,0.0615,0.0615,0.0,0.0615
2023-03-12 16:00,225.0,1678608000000,0.0615,0.0615,0.0615,15.9075,0.0615
2023-03-13 16:00,55.1,1678694400000,0.083,0.083,0.1225,6.174,0.114
2023-03-14 16:00,31.8,1678780800000,0.1245,0.1215,0.13,3.99195,0.1265
2023-03-15 16:00,43.0,1678867200000,0.126,0.1135,0.1315,5.39865,0.1135
2023-03-16 16:00,27.9,1678953600000,0.14,0.1395,0.14,3.8988,0.1395
2023-03-17 16:00,0.1,1679040000000,0.1585,0.1585,0.1585,0.01585,0.1585
2023-03-18 16:00,0.0,1679126400000,0.1585,0.1585,0.1585,0.0,0.1585
2023-03-19 16:00,0.0,1679212800000,0.1585,0.1585,0.1585,0.0,0.1585
2023-03-20 16:00,250.0,1679299200000,0.1585,0.1585,0.1585,47.005,0.1585
2023-03-21 16:00,900.0,1679385600000,0.1585,0.1585,0.1585,168.155,0.1585
2023-03-22 16:00,268.6,1679472000000,0.1585,0.1585,0.168,50.0517,0.168
2023-03-23 16:00,50.0,1679558400000,0.168,0.168,0.168,8.6925,0.168
2023-03-24 16:00,250.2,1679644800000,0.168,0.168,0.177,45.51025,0.1755
2023-03-25 16:00,0.0,1679731200000,0.1755,0.1755,0.1755,0.0,0.1755
2023-03-26 16:00,0.1,1679817600000,0.1795,0.1795,0.1795,0.01795,0.1795
2023-03-27 16:00,0.4,1679904000000,0.1725,0.1625,0.1725,0.06675,0.1625
2023-03-28 16:00,1.8,1679990400000,0.1545,0.1545,0.161,0.27875,0.161
2023-03-29 16:00,273.2,1680076800000,0.161,0.161,0.1795,48.7834,0.177
