datetime,volume,ticks,open,low,high,cost,close
2018-08-13 23:01,591.58442029,1534118400000,6401.41,6102.5,6410.0,3717990.0,6245.0
2018-08-14 23:01,69.13519108,1534204800000,6205.0,5878.5,6211.5,413690.0,6054.0
2018-08-15 23:01,26.21480117,1534291200000,6053.0,6053.0,6399.5,160850.0,6375.5
2018-08-16 23:01,2270.2795413,1534377600000,6303.0,6241.0,6491.0,14513220.0,6300.5
2018-08-17 23:01,331.59843204,1534464000000,6333.0,6325.5,6557.5,2151950.0,6557.5
2018-08-18 23:01,100.07789533,1534550400000,6553.0,6317.0,6594.0,647130.0,6391.0
2018-08-19 23:01,118.65303677,1534636800000,6362.5,6290.0,6517.0,760710.0,6490.5
2018-08-20 23:01,280.87566842,1534723200000,6483.5,6233.0,6516.5,1800030.0,6257.0
2018-08-21 23:01,6805.45860053,1534809600000,6245.5,6242.0,6497.0,43736320.0,6464.5
2018-08-22 23:01,44445.98918578,1534896000000,6467.0,6245.0,6879.0,283895970.0,6344.5
2018-08-23 23:01,1644.2931764,1534982400000,6348.5,6336.0,6573.0,10559300.0,6520.0
2018-08-24 23:01,6534.71034535,1535068800000,6525.0,6440.0,6763.5,42968700.0,6690.0
2018-08-25 23:01,10977.96559757,1535155200000,6690.5,6570.0,6820.0,73402210.0,6736.0
2018-08-26 23:01,7829.67822487,1535241600000,6744.5,6532.0,6835.5,52392220.0,6714.0
2018-08-27 23:01,8893.106657,1535328000000,6685.5,6661.0,6950.0,59754790.0,6911.5
2018-08-28 23:01,7434.33251199,1535414400000,6876.0,6776.5,7126.5,51882060.0,7075.0
2018-08-29 23:01,7148.18076609,1535500800000,7074.0,6910.5,7290.0,50324540.0,7036.0
2018-08-30 23:01,4886.44051134,1535587200000,7033.0,6791.5,7055.5,33875320.0,6982.5
2018-08-31 23:01,5101.00111101,1535673600000,6969.5,6900.0,7070.5,35801790.0,7009.5
2018-09-01 23:01,1992.65486601,1535760000000,7035.0,7000.0,7258.0,14210450.0,7194.0
2018-09-02 23:01,1796.68591664,1535846400000,7189.0,7135.5,7324.5,12985520.0,7300.0
2018-09-03 23:01,660.25595845,1535932800000,7280.0,7204.0,7323.5,4804780.0,7262.5
