datetime,volume,ticks,open,low,high,cost,close
2023-03-28 23:01,0.0,1680015660000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:02,0.0,1680015720000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:03,0.0,1680015780000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:04,0.0,1680015840000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:05,0.0,1680015900000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:06,0.0,1680015960000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:07,0.0,1680016020000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:08,0.0,1680016080000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:09,0.0,1680016140000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:10,0.0,1680016200000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:11,0.0,1680016260000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:12,0.0,1680016320000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:13,0.0,1680016380000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:14,0.0,1680016440000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:15,0.0,1680016500000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:16,0.0,1680016560000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:17,0.0,1680016620000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:18,0.0,1680016680000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:19,0.0,1680016740000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:20,0.0,1680016800000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:21,0.0,1680016860000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:22,0.0,1680016920000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:23,0.0,1680016980000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:24,0.0,1680017040000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:25,0.0,1680017100000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:26,0.0,1680017160000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:27,0.0,1680017220000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:28,0.0,1680017280000,0.1625,0.1625,0.1625,0.0,0.1625
2023-03-28 23:29,0.0,1680017340000,0.1625,0.1625,0.1625,0.0,0.1625
